,match_id,runs_after_10_overs,wickets_left,final_score
1031,1473454,82,8,183
1032,1473455,85,10,205
1033,1473457,64,7,152
1034,1473458,99,8,221
1035,1473456,95,10,238
1036,1473459,94,5,219
1037,1473460,94,8,217
1038,1473461,91,6,163
1039,1473462,61,7,103
1040,1473463,103,10,180
1041,1473464,120,8,245
1042,1473465,77,9,173
1043,1473466,94,8,205
1044,1473467,78,7,166
1045,1473469,76,8,188
1046,1473470,75,8,162
1047,1473472,105,7,203
1048,1473473,76,7,180
1049,1473474,79,6,157
1050,1473475,70,7,176
1051,1473476,88,10,198
1052,1473477,87,9,159
1053,1473478,52,5,143
1054,1473479,83,9,205
1055,1473481,90,10,201
1056,1473482,105,8,215
1057,1473483,72,7,162
1058,1473484,92,10,209
1059,1473485,117,6,204
1060,1473487,99,10,217
1061,1473488,120,9,224
1062,1473489,97,9,213
1063,1473490,86,8,206
1064,1473491,100,8,236
1065,1473492,47,5,133
1066,1473493,89,8,155
1067,1473494,87,7,179
1068,1473497,97,7,219
1069,1473498,81,9,199
1070,1473499,108,10,205
1071,1473500,102,5,187
1072,1473501,80,7,180
1073,1473502,97,9,235
1074,1473503,113,7,231
1075,1485779,97,7,206
1076,1473504,115,8,230
1077,1473505,139,9,278
1078,1473506,83,8,184
1079,1473507,100,9,227
1080,1473509,113,9,228
1081,1473510,102,8,203
1082,1473511,87,8,190
